Rank,County,State,County Effect on Household Income
1,Sioux,Iowa,34.90%
2,Cedar,Nebraska,33.10%
3,Lyon,Iowa,32.80%
4,Nemaha,Kansas,32.60%
5,Duchesne,Utah,31.00%
6,Hutchinson,South Dakota,30.80%
7,Boone,Nebraska,30.00%
8,Spink,South Dakota,29.80%
9,Clay,Nebraska,29.60%
10,Colfax,Nebraska,29.50%
11,Grundy,Iowa,29.30%
12,Stark,North Dakota,29.00%
13,Williams,North Dakota,28.70%
14,Bottineau,North Dakota,28.60%
15,Butler,Iowa,28.00%
16,Cuming,Nebraska,27.90%
17,Morgan,Utah,27.80%
18,Kossuth,Iowa,27.70%
19,Yuma,Colorado,27.70%
20,Richland,North Dakota,27.30%
21,Richland,Montana,27.00%
22,Pierce,Nebraska,27.00%
23,Ida,Iowa,27.00%
24,Turner,South Dakota,26.90%
25,Campbell,Wyoming,26.60%
26,Kingsbury,South Dakota,26.40%
27,Mercer,North Dakota,26.40%
28,Redwood,Minnesota,26.40%
29,Stevens,Minnesota,26.30%
30,Carroll,Iowa,26.20%
31,Plymouth,Iowa,26.20%
32,Sac,Iowa,26.00%
33,Pepin,Wisconsin,25.70%
34,Chippewa,Minnesota,25.60%
35,Brown,Minnesota,25.50%
36,Pipestone,Minnesota,25.30%
37,Chickasaw,Iowa,25.30%
38,Lagrange,Indiana,25.30%
39,Saline,Nebraska,25.30%
40,Swift,Minnesota,25.20%
41,Ochiltree,Texas,25.20%
42,O Brien,Iowa,25.00%
43,Delaware,Iowa,24.90%
44,Andrews,Texas,24.70%
45,Weston,Wyoming,24.60%
46,Marshall,Kansas,24.60%
47,Knox,Nebraska,24.60%
48,Palo Alto,Iowa,24.60%
49,Winneshiek,Iowa,24.50%
50,Dubois,Indiana,24.30%
51,Renville,Minnesota,24.20%
52,Platte,Nebraska,24.10%
53,Uintah,Utah,24.00%
54,Lincoln,South Dakota,24.00%
55,Clayton,Iowa,23.80%
56,Howard,Iowa,23.70%
57,Emery,Utah,23.60%
58,Traill,North Dakota,23.60%
59,Summit,Utah,23.30%
60,Cottonwood,Minnesota,23.30%
61,Holt,Nebraska,23.20%
62,Barnes,North Dakota,23.10%
63,Converse,Wyoming,22.90%
64,Butler,Nebraska,22.80%
65,Yellow Medicine,Minnesota,22.80%
66,Marshall,Minnesota,22.80%
67,Hancock,Iowa,22.70%
68,Morton,North Dakota,22.60%
69,Wabasha,Minnesota,22.50%
70,Jefferson,Nebraska,22.50%
71,Washita,Oklahoma,22.40%
72,Crawford,Iowa,22.40%
73,Bremer,Iowa,22.40%
74,Calhoun,Iowa,22.30%
75,York,Nebraska,22.20%
76,Cedar,Iowa,22.20%
77,Sibley,Minnesota,22.20%
78,Saunders,Nebraska,22.20%
79,Lafayette,Wisconsin,22.20%
80,Lac Qui Parle,Minnesota,22.10%
81,Rock,Minnesota,22.10%
82,Kingman,Kansas,22.10%
83,Pope,Minnesota,22.00%
84,Dawson,Montana,21.90%
85,Buchanan,Iowa,21.80%
86,Humboldt,Iowa,21.70%
87,Beckham,Oklahoma,21.70%
88,Moffat,Colorado,21.60%
89,Union,South Dakota,21.60%
90,Nobles,Minnesota,21.60%
